Order	Main.Row	Main.Col	Sub.Row	Sub.Col	Series.Id	Spot.Type	Dilution	Net.Value	Raw.Value	Background.Value	Spot.X.Position	Spot.Y.Position	Original.Order
153	1	1	2	21	28	Sample	6.25	197.68715	7648.845771	7451.158621	272542	48768	153
154	1	1	2	22	1058	PosCtrl	50	25667.581112	33790.932836	8123.351724	283210	49022	154
155	1	1	2	23	29	Sample	100	20166.130511	28348.705224	8182.574713	293878	49022	155
156	1	1	2	24	29	Sample	50	9392.851801	17624.849502	8231.997701	304292	49276	156
157	1	1	2	25	29	Sample	25	4915.190522	13084.829602	8169.63908	314706	49276	157
158	1	1	2	26	29	Sample	12.5	1811.559487	9733.329602	7921.770115	325120	49022	158
159	1	1	2	27	29	Sample	6.25	950.808235	8831.502488	7880.694253	334518	49530	159
160	1	1	2	28	30	Sample	100	30739.393258	39277.365672	8537.972414	345694	49022	160
161	1	1	2	29	30	Sample	50	15109.42443	23440.079602	8330.655172	356108	49022	161
162	1	1	2	30	30	Sample	25	7110.292529	15168.75	8058.457471	366522	49022	162
163	1	1	2	31	30	Sample	12.5	3303.537614	11080.192786	7776.655172	376682	49022	163
164	1	1	2	32	30	Sample	6.25	1630.211203	9489.753731	7859.542529	386842	49022	164
165	1	1	2	33	1059	PosCtrl	50	25704.387116	34526.042289	8821.655172	397510	49022	165
166	1	1	2	34	31	Sample	100	23936.847204	32858.516169	8921.668966	408178	49022	166
167	1	1	2	35	31	Sample	50	10910.39801	19453.731343	8543.333333	418592	49022	167
168	1	1	2	36	31	Sample	25	5110.935426	13262.179104	8151.243678	429006	49022	168
169	1	1	2	37	31	Sample	12.5	1998.490968	10126.274876	8127.783908	439420	49022	169
170	1	1	2	38	31	Sample	6.25	948.635675	9059.879353	8111.243678	449326	49276	170
171	1	1	2	39	32	Sample	100	14708.456845	23144.461443	8436.004598	459994	49022	171
172	1	1	2	40	32	Sample	50	5226.96405	13490.359453	8263.395402	470662	49276	172
173	1	1	2	41	32	Sample	25	1753.187022	9685.207711	7932.02069	481076	49276	173
174	1	1	2	42	32	Sample	12.5	694.549536	8239.78607	7545.236534	491236	49530	174
175	1	1	2	43	32	Sample	6.25	135.979585	7915.094527	7779.114943	500380	50038	175
176	1	1	2	44	1060	PosCtrl	50	26238.44994	35020.385572	8781.935632	511810	49022	176
177	1	1	2	45	33	Sample	100	18577.834886	27229.232587	8651.397701	522478	49022	177
178	1	1	2	46	33	Sample	50	6445.265783	14710.185323	8264.91954	532892	49022	178
179	1	1	2	47	33	Sample	25	2972.889878	10963.30597	7990.416092	543306	49022	179
180	1	1	2	48	33	Sample	12.5	1322.994113	9039.359453	7716.36534	553720	49022	180
181	1	1	2	49	33	Sample	6.25	495.412506	8258.28607	7762.873563	562864	49276	181
182	1	1	2	50	34	Sample	100	21108.712095	29368.477612	8259.765517	574294	49022	182
183	1	1	2	51	34	Sample	50	9626.071925	17859.508706	8233.436782	584708	49022	183
184	1	1	2	52	34	Sample	25	4024.014248	12000.354478	7976.34023	595376	49022	184
185	1	1	2	53	34	Sample	12.5	1787.985383	9610.049751	7822.064368	605536	49022	185
186	1	1	2	54	34	Sample	6.25	746.586902	8587.812189	7841.225287	615188	49530	186
187	1	1	2	55	1061	PosCtrl	50	27445.078058	36256.089552	8811.011494	626110	49022	187
188	1	1	2	56	35	Sample	100	22771.648447	31517.850746	8746.202299	636778	49022	188
189	1	1	2	57	35	Sample	50	9038.529911	17324.727612	8286.197701	647192	49276	189
190	1	1	2	58	35	Sample	25	4568.880014	12561.721393	7992.841379	657606	49276	190
191	1	1	2	59	35	Sample	12.5	1980.828513	9884.860697	7904.032184	668020	49276	191
192	1	1	2	60	35	Sample	6.25	879.194776	8900.794776	8021.6	677926	49022	192
193	1	1	2	61	36	Sample	100	17513.51598	26134.180348	8620.664368	688594	49022	193
194	1	1	2	62	36	Sample	50	7132.0734	15444.558458	8312.485057	699262	49022	194
195	1	1	2	63	36	Sample	25	3182.428899	11143.608209	7961.17931	709676	49022	195
196	1	1	2	64	36	Sample	12.5	1380.779213	9313.708955	7932.929742	720090	49022	196
197	1	1	2	65	36	Sample	6.25	669.946586	8641.886816	7971.94023	729234	48768	197
198	1	1	2	66	1062	PosCtrl	50	27441.078101	36192.802239	8751.724138	740664	49022	198
199	1	1	2	67	37	Sample	100	17385.535804	26216.850746	8831.314943	751078	48514	199
200	1	1	2	68	37	Sample	50	6740.893438	15034.792289	8293.898851	761492	48768	200
201	1	1	2	69	37	Sample	25	3310.063527	11441.89801	8131.834483	771906	48514	201
202	1	1	2	70	37	Sample	12.5	1217.584	9194.054726	7976.470726	782320	48768	202
203	1	1	2	71	37	Sample	6.25	622.542297	8611.951493	7989.409195	791464	48514	203
204	1	1	2	72	38	Sample	100	16242.98637	24842.441542	8599.455172	802894	48514	204
205	1	1	2	73	38	Sample	50	6693.718245	15151.876866	8458.158621	813308	48514	205
206	1	1	2	74	38	Sample	25	2685.589509	10923.210199	8237.62069	823722	48514	206
207	1	1	2	75	38	Sample	12.5	1224.015303	9194.0199	7970.004598	834390	49022	207
208	1	1	2	76	38	Sample	6.25	679.379928	8726.129353	8046.749425	844296	48768	208
209	1	1	2	77	1063	PosCtrl	50	28405.049991	37322.840796	8917.790805	854710	48514	209
210	1	1	2	78	39	Sample	100	16638.907643	25459.100746	8820.193103	865632	49022	210
211	1	1	2	79	39	Sample	50	5828.976977	14462.029851	8633.052874	876046	49022	211
212	1	1	2	80	39	Sample	25	2815.366306	11071.9801	8256.613793	886460	49276	212
213	1	1	2	81	39	Sample	12.5	955.21624	9199.99005	8244.77381	897382	48768	213
214	1	1	2	82	39	Sample	6.25	700.243827	8739.119403	8038.875576	906272	49022	214
215	1	1	2	83	40	Sample	100	22885.67099	31555.572139	8669.901149	917448	49022	215
216	1	1	2	84	40	Sample	50	10570.187657	19196.488806	8626.301149	927862	49022	216
217	1	1	2	85	40	Sample	25	4623.022542	12998.38806	8375.365517	938276	49022	217
218	1	1	2	86	40	Sample	12.5	2002.987356	10192.166667	8189.17931	948690	48768	218
219	1	1	2	87	40	Sample	6.25	904.002539	9092.457711	8188.455172	958088	48514	219
220	1	1	2	88	1064	PosCtrl	50	27680.551081	36697.309701	9016.758621	969264	49022	220
221	1	1	2	89	41	Sample	100	18833.425836	27749.522388	8916.096552	979932	49022	221
222	1	1	2	90	41	Sample	50	7373.228504	15959.118159	8585.889655	990346	49022	222
223	1	1	2	91	41	Sample	25	3792.285649	11998.235075	8205.949425	1000760	49022	223
224	1	1	2	92	41	Sample	12.5	1316.53257	9518.247512	8201.714943	1011174	48768	224
225	1	1	2	93	41	Sample	6.25	668.944167	8997.15796	8328.213793	1020572	49276	225
226	1	1	2	94	42	Sample	100	26767.412464	35870.906716	9103.494253	1031748	49022	226
227	1	1	2	95	42	Sample	50	11448.136173	20315.113184	8866.977011	1042162	49022	227
228	1	1	2	96	42	Sample	25	5039.673392	13595.149254	8555.475862	1052576	49022	228
229	1	1	2	97	42	Sample	12.5	2715.538437	10997.809701	8282.271264	1062990	49022	229
230	1	1	2	98	42	Sample	6.25	1000.545866	9320.180348	8319.634483	1072388	49276	230
231	1	1	2	99	1065	PosCtrl	50	28107.40042	37324.384328	9216.983908	1083564	48768	231
232	1	1	2	100	43	Sample	100	21782.982862	31181.743781	9398.76092	1094232	49022	232
233	1	1	2	101	43	Sample	50	9741.242717	18660.502488	8919.25977	1104646	49022	233
234	1	1	2	102	43	Sample	25	4632.356451	13104.804726	8472.448276	1115060	49022	234
235	1	1	2	103	43	Sample	12.5	2071.008441	10353.99005	8282.981609	1125474	49022	235
236	1	1	2	104	43	Sample	6.25	1233.05905	9377.960199	8144.901149	1135380	48768	236
237	1	1	2	105	44	Sample	100	12244.531515	20818.58209	8574.050575	1146048	49022	237
238	1	1	2	106	44	Sample	50	4381.120003	12756.430348	8375.310345	1156716	49022	238
239	1	1	2	107	44	Sample	25	1977.846766	9995.313433	8017.466667	1166876	49022	239
240	1	1	2	108	44	Sample	12.5	710.721355	8568.100746	7857.379391	1177798	48768	240
241	1	1	2	109	44	Sample	6.25	393.634354	8240.86194	7847.227586	1186942	48768	241
242	1	1	2	110	1066	PosCtrl	50	28091.367936	36899.395522	8808.027586	1197864	48768	242
243	1	1	2	111	45	Sample	100	12644.909779	21442.992537	8798.082759	1208532	48768	243
244	1	1	2	112	45	Sample	50	4785.488832	13145.049751	8359.56092	1218692	49022	244
245	1	1	2	113	45	Sample	25	2112.284783	10376.905473	8264.62069	1229360	49022	245
246	1	1	2	114	45	Sample	12.5	923.549974	8829.522388	7905.972414	1239774	49022	246
247	1	1	2	115	45	Sample	6.25	523.885992	8352.936567	7829.050575	1249172	48768	247
248	1	1	2	116	46	Sample	100	34235.648216	43137.135572	8901.487356	1260094	48768	248
249	1	1	2	117	46	Sample	50	20846.361597	29558.327114	8711.965517	1270762	48768	249
250	1	1	2	118	46	Sample	25	10927.352162	19332.869403	8405.517241	1281176	48768	250
251	1	1	2	119	46	Sample	12.5	4965.899708	12984.587065	8018.687356	1291590	48768	251
252	1	1	2	120	46	Sample	6.25	2683.783899	10712.924129	8029.14023	1301496	48514	252
253	1	1	2	121	1067	PosCtrl	50	28114.790968	37041.108209	8926.317241	1312164	48768	253
254	1	1	2	122	47	Sample	100	19028.851553	27419.31592	8390.464368	1322832	48768	254
255	1	1	2	123	47	Sample	50	8434.408243	16586.911692	8152.503448	1333246	48768	255
256	1	1	2	124	47	Sample	25	4415.343807	12112.63806	7697.294253	1343660	48768	256
257	1	1	2	125	47	Sample	12.5	2198.459144	9548.128109	7349.668966	1354074	48514	257
258	1	1	2	126	47	Sample	6.25	1059.22304	8660.788557	7601.565517	1363726	48768	258
259	1	1	2	127	48	Sample	100	26007.16532	34413.588308	8406.422989	1374648	48768	259
260	1	1	2	128	48	Sample	50	11177.774147	19327.659204	8149.885057	1385316	48768	260
261	1	1	2	129	48	Sample	25	5430.003088	13198.9801	7768.977011	1395730	48514	261
262	1	1	2	130	48	Sample	12.5	2318.754006	9860.181592	7541.427586	1406144	48514	262
263	1	1	2	131	48	Sample	6.25	1108.478933	8736.495025	7628.016092	1415542	48768	263
264	1	1	2	132	1068	PosCtrl	50	28050.38293	36150.68408	8100.301149	1426718	48768	264
265	1	1	3	1	49	Sample	100	12632.065311	19136.679104	6504.613793	65024	59436	265
266	1	1	3	2	49	Sample	50	4845.691654	11109.677861	6263.986207	75438	59436	266
267	1	1	3	3	49	Sample	25	2630.753997	8791.772388	6161.018391	85852	59436	267
268	1	1	3	4	49	Sample	12.5	834.668648	7402.192786	6567.524138	97028	59436	268
269	1	1	3	5	49	Sample	6.25	344.97654	6952.493781	6607.517241	106680	59436	269
270	1	1	3	6	50	Sample	100	9355.349091	16287.374378	6932.025287	116840	59436	270
271	1	1	3	7	50	Sample	50	3002.391371	9826.007463	6823.616092	127508	59436	271
272	1	1	3	8	50	Sample	25	1309.228779	8143.212687	6833.983908	137922	59436	272
273	1	1	3	9	50	Sample	12.5	552.367542	7502.905473	6950.537931	148590	59436	273
274	1	1	3	10	50	Sample	6.25	330.845437	7403.886816	7073.041379	158496	59436	274
275	1	1	3	11	1057	PosCtrl	25	15350.764008	22892.313433	7541.549425	168656	59436	275
276	1	1	3	12	51	Sample	100	21203.587451	29073.66791	7870.08046	179324	59436	276
277	1	1	3	13	51	Sample	50	6718.637571	14202.313433	7483.675862	189992	59436	277
278	1	1	3	14	51	Sample	25	3568.161357	10968.869403	7400.708046	200152	59436	278
279	1	1	3	15	51	Sample	12.5	1619.768957	8947.993781	7328.224824	211074	59436	279
280	1	1	3	16	51	Sample	6.25	646.949125	8142.344527	7495.395402	220218	59436	280
281	1	1	3	17	52	Sample	100	13289.823074	21099.425373	7809.602299	231394	59182	281
282	1	1	3	18	52	Sample	50	5200.526651	12714.896766	7514.370115	241808	59182	282
283	1	1	3	19	52	Sample	25	2099.474627	9522.741294	7423.266667	252222	59436	283
284	1	1	3	20	52	Sample	12.5	1331.596003	8547.310945	7215.714943	262636	59182	284
285	1	1	3	21	52	Sample	6.25	438.747538	7745.308458	7306.56092	272034	59436	285
286	1	1	3	22	1058	PosCtrl	25	14470.661777	22372.420398	7901.758621	283210	59436	286
287	1	1	3	23	53	Sample	100	16335.871539	24524.094527	8188.222989	293878	59436	287
288	1	1	3	24	53	Sample	50	6801.986516	14886.064677	8084.078161	304292	59436	288
289	1	1	3	25	53	Sample	25	3483.25525	11516.016169	8032.76092	314706	59436	289
290	1	1	3	26	53	Sample	12.5	1529.500077	9350.182836	7820.682759	325120	59436	290
291	1	1	3	27	53	Sample	6.25	578.200549	8356.522388	7778.321839	334772	59436	291
292	1	1	3	28	54	Sample	100	11450.081669	19603.031095	8152.949425	345694	59436	292
293	1	1	3	29	54	Sample	50	3858.26508	11871.630597	8013.365517	356108	59436	293
294	1	1	3	30	54	Sample	25	1774.074387	9595.616915	7821.542529	366522	59436	294
295	1	1	3	31	54	Sample	12.5	866.021865	8640.394279	7774.372414	376936	59436	295
296	1	1	3	32	54	Sample	6.25	482.411666	8247.850746	7765.43908	386588	59182	296
297	1	1	3	33	1059	PosCtrl	25	14319.245222	22659.99005	8340.744828	397510	59436	297
298	1	1	3	34	55	Sample	100	5569.99608	14039.993781	8469.997701	408178	59436	298
299	1	1	3	35	55	Sample	50	1505.414977	9558.136816	8052.721839	418592	59436	299
300	1	1	3	36	55	Sample	25	781.163124	8692.498756	7911.335632	429260	59690	300
301	1	1	3	37	55	Sample	12.5	402.541601	8426.890547	8024.348946	439928	59436	301
302	1	1	3	38	55	Sample	6.25	247.749194	8394.951493	8147.202299	449072	59436	302
303	1	1	3	39	56	Sample	100	5634.153242	13893.095771	8258.942529	459994	59182	303
